batch_id,instructor_id,course_id,completion_rate,avg_score_improvement,avg_quiz_score,dropout_rate,avg_watch_time,assignment_submission_rate,forum_activity_rate,avg_feedback_score,feedback_response_rate
B_1861,I_044,C_01,0.3000,14.2260,73.54652768,0.647423305,0.774572304,0.790918147,0.108413997,3.766211496,0.533193041
B_0354,I_119,C_06,0.6572,22.8711,77.31233097,0.425097906,0.494935967,0.998566068,0.280549694,5,0.734087422
B_1334,I_050,C_03,0.3000,16.0875,79.56368722,0.7,0.97790127,0.807297831,0.207013467,3.517386295,0.68143322
B_0906,I_024,C_21,0.6395,24.2607,99.29531556,0.334657118,0.846515114,0.544555015,0.306395169,4.207578057,1
B_1290,I_001,C_08,0.5273,31.0816,99.39342484,0.521099163,0.917450101,0.865885479,0.252289468,4.426230125,0.69670984
B_1274,I_026,C_07,0.5514,33.1421,66.92102891,0.453334477,0.808018218,0.599258126,0.303886361,3.436706114,0.820149717
B_0939,I_082,C_23,0.6727,27.3053,71.33954792,0.335138496,0.6751749,0.956998703,0.088178476,4.425977653,0.916465486
B_1732,I_009,C_15,0.6042,29.3020,68.57256874,0.426282079,0.760133329,0.858307283,0.324519765,3.992382995,0.77399935
B_0066,I_114,C_03,0.7971,34.9593,72.69575451,0.182420392,0.673769848,0.850339103,0.117345325,3.984804844,0.702765193
B_1324,I_038,C_24,0.3000,19.9068,68.72641295,0.7,0.645212558,0.595021649,0.015123189,2.952907782,0.604704371
B_0057,I_007,C_03,0.6112,36.8028,81.98415243,0.379726501,0.994442748,0.844886425,0.292126246,3.622733789,1
B_1293,I_064,C_02,0.5707,19.0933,72.72184339,0.410812036,0.618870005,0.878618658,0.172449467,3.185761678,0.570669612
B_1119,I_105,C_10,0.8359,32.1519,99.38061904,0.172236782,0.931756526,0.639961261,0.238955405,4.29641047,0.7251151
B_0585,I_001,C_23,0.5023,30.4784,77.65640547,0.527206616,0.912544364,0.870204298,0.218729483,4.158299878,0.692846711
B_0375,I_084,C_14,0.7476,24.8532,82.04539229,0.339942259,0.896928852,0.766905932,0.216144507,4.174259783,0.737126952
B_0276,I_087,C_07,0.7286,36.7039,85.08587756,0.275468214,0.617110909,0.869324925,0.346213957,5,0.659313878
B_0747,I_086,C_07,0.5073,21.9110,52.23626239,0.517193056,0.788141623,0.723975999,0.111328329,3.608986486,0.76357341
B_0129,I_088,C_13,0.5519,34.1200,77.5304025,0.395987026,0.620483926,0.863647616,0.123542237,4.387034783,0.648745226
B_1647,I_088,C_16,0.4854,22.3098,61.03657869,0.490439981,0.72371308,0.544951649,0.058870412,4.796709231,0.690978684
B_1853,I_044,C_21,0.3965,12.4715,69.7132963,0.520881929,0.62423237,0.695045371,0.33855331,3.86414611,0.473733496
B_0675,I_033,C_25,0.5593,27.0861,77.50967826,0.424322778,0.992307357,1,0.39620163,4.490074887,0.824930773
B_1665,I_032,C_21,0.5195,22.6731,77.82720909,0.494888339,1,0.874990224,0.175556624,3.932347821,0.893477919
B_1982,I_117,C_23,0.7516,30.7362,72.06785218,0.203920409,0.637497526,0.879310058,0.328051951,4.032435623,0.592837322
B_1084,I_111,C_05,0.7923,24.7322,74.79436495,0.222433955,0.973314656,0.883056031,0.160857318,3.795297061,0.692243725
B_1923,I_039,C_20,0.5435,26.6139,88.62399756,0.518243093,0.811679741,0.709387952,0.164521449,3.756783739,0.898558462
B_0100,I_100,C_16,0.3966,24.5831,74.99766896,0.502561613,0.758766212,0.46079643,0.255059961,4.756190368,0.798424259
B_1180,I_119,C_09,0.4276,38.8002,99.79521085,0.495454193,0.544062576,1,0.424538782,5,0.792467897
B_0965,I_086,C_14,0.5425,24.6907,75.89890105,0.432199721,0.667063273,0.648810429,0.320692342,3.321807195,0.740159389
B_0793,I_018,C_02,0.8672,29.7342,82.96272534,0.148093261,1,0.517009366,0.133578563,4.531797043,0.479467594
B_0030,I_021,C_25,0.7657,33.7029,92.38189562,0.2336807,0.774875107,0.742579634,0.174497007,4.700204453,0.639109626
B_0629,I_085,C_19,0.6639,30.6471,73.85991706,0.307198545,0.783510044,1,0.341330782,4.303273161,0.700907291
B_0945,I_010,C_22,0.9779,40.0000,88.16621763,0.031440716,0.758796195,0.772415095,0.208892025,4.231673013,0.819063783
B_0573,I_055,C_21,0.7622,30.5073,75.03284777,0.184217525,0.763143296,0.633918931,0.345550544,4.723105769,0.902122448
B_0908,I_117,C_06,0.5614,40.0000,75.31031935,0.432238973,0.910673704,0.52897754,0.345508369,4.088360303,0.809428385
B_1081,I_112,C_21,0.3377,29.1501,71.75467633,0.7,0.787002816,0.821980781,0.098797022,4.359721418,0.812067956
B_0451,I_113,C_04,0.3000,21.9112,79.6381624,0.620198707,0.447558949,0.509912425,0.198596089,4.042176955,0.259935242
B_1610,I_047,C_24,0.4826,14.2142,69.53364809,0.474733903,0.924850517,0.610442274,0.174234124,3.798709867,0.93881317
B_1291,I_090,C_03,0.5668,27.2725,87.2587574,0.424370065,0.972228733,0.698472528,0.379078318,4.425077928,0.861631283
B_1079,I_107,C_18,0.6768,26.9346,94.5394044,0.282011074,0.706439931,0.534044961,0.037242704,3.93218176,0.691133721
B_0255,I_052,C_08,0.4524,27.5981,61.06844219,0.526037923,0.970468321,0.767477392,0.29238876,3.852503166,0.676165457
B_0125,I_065,C_08,0.4781,18.9930,72.324862,0.544128463,0.954517057,0.66878615,0.33865954,4.569088986,0.668771021
B_1928,I_103,C_17,0.8016,28.0459,94.96647077,0.160811353,0.816239002,0.989231007,0.370986349,4.485535913,0.810386656
B_0252,I_096,C_15,0.7833,25.3431,86.82061928,0.262571124,0.965200006,0.751206689,0.292406793,3.998475843,0.604038623
B_0586,I_111,C_11,0.5367,28.5637,80.49482627,0.411097554,0.612478321,0.610686318,0.050233579,3.885004716,0.910347972
B_1569,I_028,C_19,0.3965,32.2870,69.43094257,0.677341751,0.815593985,0.588131029,0.210121391,4.175332937,0.54809359
B_0825,I_045,C_14,0.5736,17.3262,75.02888631,0.482881917,0.644093189,0.723707422,0.401581504,4.125362214,0.60836051
B_0508,I_065,C_22,0.5024,23.3869,72.97085973,0.475768549,0.839327299,0.801685717,0.415669479,3.776304133,0.588971747
B_0890,I_001,C_08,0.6521,36.8832,85.45076055,0.399006997,0.904489835,0.507565301,0.394125705,4.789838947,0.571586351
B_0071,I_084,C_15,0.6048,24.8542,73.34901168,0.391707812,0.993812939,0.612795855,0.08837481,4.492797539,0.840919333
B_1609,I_115,C_11,0.5699,20.5568,70.73457343,0.472380346,0.557665026,0.583562888,0.404238239,4.003702996,0.675931374
B_1533,I_117,C_24,0.7480,28.8206,74.35637029,0.255613658,0.626883058,0.975750088,0.254817524,4.549106811,0.697332532
B_0248,I_079,C_25,0.4814,29.7811,78.49148946,0.507769752,0.74484301,0.638537025,0.336828743,3.881277689,0.517539401
B_1451,I_027,C_12,0.3816,26.5964,71.24825731,0.606329718,1,0.71834722,0.301477764,4.662006098,0.859975145
B_0213,I_117,C_17,0.7733,18.9578,84.05535974,0.137600624,0.723770992,0.881618241,0.26116695,3.98033893,0.488194856
B_0910,I_092,C_18,0.6378,22.8450,78.47610786,0.33131619,0.684757312,0.966409774,0.163422981,3.528771234,0.522298407
B_1742,I_110,C_04,0.5537,26.1311,74.03398041,0.44172465,0.826066728,0.947980315,0.337825397,4.128110709,0.592810845
B_1245,I_119,C_12,0.6121,26.8784,81.88853924,0.321751731,0.86066727,0.963336826,0.421733884,4.410349428,0.912369194
B_1697,I_020,C_02,0.4443,23.7304,62.25651079,0.592416843,0.759190783,0.63548093,0.145571637,4.408689834,0.534704437
B_1183,I_074,C_18,0.3261,23.9024,64.68360272,0.7,0.627386775,0.643497668,0.286864415,3.229062503,0.774116212
B_0362,I_020,C_18,0.5467,29.4356,69.57248523,0.496013068,0.839168591,0.78971325,0.104146664,3.882271476,0.611201882
B_1474,I_090,C_06,0.6500,29.2533,81.65504281,0.407756154,0.773493994,0.580871598,0.291244459,4.507250841,0.858276656
B_0679,I_044,C_16,0.3000,23.7308,67.02855991,0.648957534,0.761990427,0.421410548,0.271916103,2.878397789,0.492767501
B_1622,I_001,C_15,0.4052,18.8259,87.35149979,0.546561055,0.727345528,0.635983635,0.336692659,3.924648377,0.588859349
B_1090,I_118,C_11,0.6833,36.2079,79.47918465,0.336724777,0.909535074,0.873380522,0.424174796,4.437625231,1
B_1988,I_111,C_20,0.5290,33.5586,78.34292034,0.568413332,1,0.653235627,0.316399242,4.263944732,0.509934001
B_1848,I_035,C_20,0.7491,31.0301,58.2614714,0.344886325,0.930608743,0.707198185,0.14301259,4.017464998,0.567115876
B_0988,I_101,C_22,0.3000,29.4732,71.43262142,0.7,0.713212097,1,0.322580521,3.988746954,0.666716608
B_1513,I_110,C_24,0.5445,24.7268,75.85947408,0.494662123,0.779609939,0.705764041,0.274650286,3.64592387,0.733432638
B_0112,I_109,C_19,0.6177,36.9642,70.28431507,0.395001426,0.735475295,0.717425895,0.235729447,3.824326365,0.935679354
B_1488,I_112,C_01,0.3849,26.0442,81.22297109,0.623341961,1,0.749156714,0.294932281,4.046544873,0.763004088
B_1454,I_115,C_24,0.5251,32.4367,96.45557859,0.431286672,0.433797907,0.921235276,0.193936737,4.438879508,0.297678607
B_0384,I_082,C_13,0.5697,28.1781,79.12104598,0.447992062,0.633507223,0.750091803,0.196530631,4.14353567,0.644599042
B_1396,I_039,C_04,0.4739,29.3010,69.79111529,0.449141302,0.883436834,0.538844239,0.192632086,4.191546676,0.668058604
B_1055,I_097,C_20,0.6517,30.6399,74.94423702,0.367423932,0.627333498,1,0.21474428,5,0.65802532
B_0756,I_019,C_23,0.4751,21.1142,70.91480493,0.505526311,0.74615023,0.758636257,0.038502606,4.286058887,0.556524399
B_0325,I_040,C_08,0.6320,24.1172,76.65197626,0.368752651,0.854687915,0.903199219,0.164921229,5,0.847777071
B_1624,I_029,C_16,0.5247,24.2896,77.69525395,0.525583433,0.772599993,0.853007939,0.086251748,4.47672981,0.841228497
B_0788,I_035,C_05,0.5512,18.4093,62.70940554,0.480988705,0.847492896,0.889744475,0.346113093,4.1394222,0.739927321
